Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\OpenScrape.App.csproj,,,Microsoft.Extensions.DependencyInjection 10.0.0-preview.1.25080.5,,,,,"Microsoft.Extensions.DependencyInjection, 10.0.0-preview.1.25080.5  Recomendación:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\OpenScrape.App.csproj,,,Microsoft.Extensions.Hosting 10.0.0-preview.1.25080.5,,,,,"Microsoft.Extensions.Hosting, 10.0.0-preview.1.25080.5  Recomendación:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.3"
NuGet.0003,La funcionalidad del paquete NuGet se incluye con la referencia del marco,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\OpenScrape.App.csproj,,,System.Text.RegularExpressions 4.3.1,,,,,"System.Text.RegularExpressions, 4.3.1  Recomendación:  Funcionalidad de paquete incluida con la nueva referencia de marco"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\OpenScrape.App.csproj,,,Microsoft.NETCore.App 2.2.8,,,,,"Microsoft.NETCore.App, 2.2.8  Recomendación:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.NETCore.App, and replace with new package Microsoft.NETCore.App, 2.2.8"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\OpenScrape.App.csproj,,,,,,,,Marco de destino actual: net9.0-windows Marco de destino recomendado: net10.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Models\Region.cs,21,36,T:System.Drawing.Bitmap,,,,,set;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Models\Region.cs,21,31,T:System.Drawing.Bitmap,,,,,get;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Models\Region.cs,21,8,T:System.Drawing.Bitmap,,,,,public Bitmap? Image
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,75,23,T:System.Windows.Forms.Button,,,,,button1
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,74,22,T:System.Windows.Forms.Label,,,,,lbAction
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,69,12,M:System.Windows.Forms.Control.PerformLayout,,,,,PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,68,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,67,12,P:System.Windows.Forms.Form.TopMost,,,,,TopMost = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,66,12,P:System.Windows.Forms.Form.Text,,,,,"Text = ""FormAction"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,65,12,T:System.Windows.Forms.FormStartPosition,,,,,StartPosition = FormStartPosition.Manual;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,65,12,T:System.Windows.Forms.FormStartPosition,,,,,StartPosition = FormStartPosition.Manual;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,65,12,F:System.Windows.Forms.FormStartPosition.Manual,,,,,StartPosition = FormStartPosition.Manual;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,65,12,T:System.Windows.Forms.FormStartPosition,,,,,StartPosition = FormStartPosition.Manual;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,65,12,P:System.Windows.Forms.Form.StartPosition,,,,,StartPosition = FormStartPosition.Manual;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,64,12,P:System.Windows.Forms.Form.ShowInTaskbar,,,,,ShowInTaskbar = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,63,12,P:System.Windows.Forms.Control.Name,,,,,"Name = ""FormAction"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,62,12,T:System.Windows.Forms.FormBorderStyle,,,,,FormBorderStyle = FormBorderStyle.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,62,12,T:System.Windows.Forms.FormBorderStyle,,,,,FormBorderStyle = FormBorderStyle.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,62,12,F:System.Windows.Forms.FormBorderStyle.None,,,,,FormBorderStyle = FormBorderStyle.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,62,12,T:System.Windows.Forms.FormBorderStyle,,,,,FormBorderStyle = FormBorderStyle.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,62,12,P:System.Windows.Forms.Form.FormBorderStyle,,,,,FormBorderStyle = FormBorderStyle.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,61,12,T:System.Windows.Forms.Label,,,,,Controls.Add(lbAction);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,61,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(lbAction);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,61,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(lbAction);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,61,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,Controls.Add(lbAction);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\OpenScrape.App\OpenScrape.App.csproj,File,src\OpenScrape.App\Forms\FormAction.Designer.cs,60,12,T:System.Windows.Forms.Button,,,,,Controls.Add(button1);
